input;target
Mon. 1817.08.04;04-08-1817
02/04/1817;02-04-1817
Fri. 19 Oct 2007;19-10-2007
Friday, 2007 05 25;25-05-2007
Sunday 2019 Jun. 23;23-06-2019
Wednesday 28 Mar. 2040;28-03-2040
1868 March 31;31-03-1868
Mon. 1823 Dec. 01;01-12-1823
Sunday, 1831-08-21;21-08-1831
Sat. 1899.10.07;07-10-1899
1944 Aug. 23;23-08-1944
1888-04-13;13-04-1888
Monday 1958-08-25;25-08-1958
Sat 28 August 1926;28-08-1926
Sat 2020/06/06;06-06-2020
11 July 2036;11-07-2036
Monday 04 Jul 2033;04-07-2033
1937-07-06;06-07-1937
Thu. 15/03/2035;15-03-2035
12/05/1863;12-05-1863
Wed. 1991/03/27;27-03-1991
Sun 28-03-1819;28-03-1819
Tuesday 26 May. 1885;26-05-1885
Tue 10 05 1881;10-05-1881
Wed 05 March 2025;05-03-2025
Thursday 1905 Nov. 02;02-11-1905
Wed 1824/04/28;28-04-1824
Sunday 05 Jun. 2033;05-06-2033
Sun. 13 January 1811;13-01-1811
Thursday 17 Jun. 1830;17-06-1830
Thursday, 1811 May 02;02-05-1811
Fri. 1937-04-30;30-04-1937
1984/07/26;26-07-1984
Tuesday, 1926/08/24;24-08-1926
Fri 03.01.1930;03-01-1930
26-04-1963;26-04-1963
Fri 1840-11-13;13-11-1840
17 Oct 1851;17-10-1851
Monday 1899 June 19;19-06-1899
Wednesday, 11 05 2039;11-05-2039
Mon. 25 Jul. 1825;25-07-1825
Wednesday, 23-12-2037;23-12-2037
Tuesday, 28 08 1984;28-08-1984
Tue. 26 Jan 2049;26-01-2049
Thursday, 1932 10 13;13-10-1932
Wednesday 1864 12 28;28-12-1864
23-03-1851;23-03-1851
1875.12.12;12-12-1875
Saturday, 1988 August 06;06-08-1988
Tuesday, 29/10/1839;29-10-1839
Thu 12 10 1854;12-10-1854
Friday 25 Jul 1845;25-07-1845
Sunday, 1864.03.27;27-03-1864
Friday 19.07.1901;19-07-1901
Thu. 21.07.2033;21-07-2033
Saturday 1977-06-11;11-06-1977
16 June 1913;16-06-1913
Tue 24.08.1886;24-08-1886
Saturday, 2035.05.26;26-05-2035
Mon. 25 Dec 1882;25-12-1882
Wednesday 19-03-1930;19-03-1930
2032 Feb. 01;01-02-2032
Sunday 09 February 2048;09-02-2048
Thursday 10 03 1932;10-03-1932
Wed. 06 August 1975;06-08-1975
Monday, 14.11.2033;14-11-2033
Fri. 1992 Aug 28;28-08-1992
Fri 1935 10 04;04-10-1935
Thu 24.05.1900;24-05-1900
Wed. 18-08-1869;18-08-1869
Sun. 1941 December 21;21-12-1941
Sun. 2010 11 21;21-11-2010
Thursday, 1874.05.14;14-05-1874
Thursday 04-05-1876;04-05-1876
Wed. 05 Sep. 1877;05-09-1877
Mon. 1979/07/30;30-07-1979
1867 08 23;23-08-1867
Tuesday, 1930 Sep. 09;09-09-1930
1804 09 15;15-09-1804
07 May. 1903;07-05-1903
Saturday, 09-09-1809;09-09-1809
26 January 1967;26-01-1967
Monday, 22/04/1968;22-04-1968
Wednesday 11/12/1872;11-12-1872
Tue. 1870-11-15;15-11-1870
Sun 28 11 2049;28-11-2049
Sun. 1851 Jun 29;29-06-1851
Tue 10-05-1831;10-05-1831
Wednesday, 1819 Sep 15;15-09-1819
Fri. 09 Jan. 2026;09-01-2026
Thu 01-10-1981;01-10-1981
Friday 1985-04-26;26-04-1985
Friday 2026 02 13;13-02-2026
1839 01 21;21-01-1839
Tuesday 04-12-1951;04-12-1951
1940 May 30;30-05-1940
Wednesday, 10 08 2022;10-08-2022
Tue. 20.05.1823;20-05-1823
Sunday, 16/10/1864;16-10-1864
Mon 05 Mar 2046;05-03-2046
25 Jan 1885;25-01-1885
Wednesday 03 June 1868;03-06-1868
Friday, 1958 January 03;03-01-1958
Tuesday 1917.02.20;20-02-1917
Mon. 1938.01.31;31-01-1938
Thu 1972/09/07;07-09-1972
Tue 18 September 2040;18-09-2040
Thu. 1895 March 14;14-03-1895
Fri. 2039/03/04;04-03-2039
Tuesday, 1906 Oct. 09;09-10-1906
Sun 1810 Apr. 01;01-04-1810
Wednesday, 07 Dec 1803;07-12-1803
Fri 19-10-2012;19-10-2012
Thursday 1938.08.11;11-08-1938
18 11 1929;18-11-1929
2038 Jan 19;19-01-2038
29 04 1946;29-04-1946
Thursday, 1959 10 15;15-10-1959
Tuesday 13 Feb 2029;13-02-2029
Thursday, 1996-06-13;13-06-1996
Wed. 1891-11-25;25-11-1891
1902 08 14;14-08-1902
Mon 28-03-1960;28-03-1960
Fri. 1811 06 28;28-06-1811
Sun. 1951 August 19;19-08-1951
Wed. 31/08/1988;31-08-1988
Tue. 26 November 1872;26-11-1872
Sun 31-05-1981;31-05-1981
Fri 1933-08-25;25-08-1933
Wednesday, 1837/02/22;22-02-1837
1948 07 01;01-07-1948
Thursday 25/09/1828;25-09-1828
Sat 1986 Apr 19;19-04-1986
19/06/1937;19-06-1937
Wednesday 02/03/2005;02-03-2005
Mon. 1896/11/02;02-11-1896
Fri. 1908.12.18;18-12-1908
12 November 1908;12-11-1908
Mon 24-08-1953;24-08-1953
Monday, 03.08.1992;03-08-1992
14 February 1940;14-02-1940
Wednesday 25 Oct. 2006;25-10-2006
Thu. 12 Oct. 1893;12-10-1893
Sunday, 24.08.1806;24-08-1806
Thu. 2022 06 16;16-06-2022
1989 January 12;12-01-1989
Saturday 1844 Jun. 29;29-06-1844
Sun. 1994/09/18;18-09-1994
Tue. 1904/08/23;23-08-1904
Thursday, 13.06.1985;13-06-1985
Wed. 1967 02 15;15-02-1967
1909 February 13;13-02-1909
Mon. 2034/05/29;29-05-2034
17 06 1937;17-06-1937
Sat. 1923 Jun 09;09-06-1923
Sunday 1932-06-26;26-06-1932
Tuesday 1951 January 16;16-01-1951
Monday, 2008.06.09;09-06-2008
Tuesday, 1983/10/11;11-10-1983
Sat. 26-01-1980;26-01-1980
1809 May. 20;20-05-1809
Monday, 1890/06/02;02-06-1890
Fri 14-10-1938;14-10-1938
18.06.1989;18-06-1989
Sunday 2028 December 17;17-12-2028
1965 05 30;30-05-1965
1911 Jan 12;12-01-1911
Thu. 1884 06 12;12-06-1884
Wed 10 Jun 1931;10-06-1931
07 Dec. 2008;07-12-2008
Wed 1899/01/04;04-01-1899
Mon. 1857 Jul 27;27-07-1857
Tue 10 Feb 1857;10-02-1857
Sunday, 25.07.1841;25-07-1841
Thu. 2015-09-17;17-09-2015
1830/11/09;09-11-1830
Thursday 24/02/1831;24-02-1831
Thursday 1969 Jan. 09;09-01-1969
Friday 1838 10 05;05-10-1838
Tue. 26 Sep. 1848;26-09-1848
Wed. 1943-04-28;28-04-1943
Sun 22 Nov. 1931;22-11-1931
08/11/1900;08-11-1900
Monday, 12/01/1818;12-01-1818
Thu. 29 10 2009;29-10-2009
09 01 1912;09-01-1912
Friday, 1930 Oct. 24;24-10-1930
Wed 22 Sep 2027;22-09-2027
Tue 1898/08/02;02-08-1898
28/11/2032;28-11-2032
Sun 18 11 1866;18-11-1866
Mon. 02-07-1951;02-07-1951
Friday 1899-03-10;10-03-1899
Monday 25 Aug. 1997;25-08-1997
Fri. 11 Jan 2013;11-01-2013
Thu. 2046/01/11;11-01-2046
1814 05 15;15-05-1814
Fri. 11 May 1906;11-05-1906
Mon 1878 Jun. 03;03-06-1878
1864.03.07;07-03-1864
Sunday, 2026 06 28;28-06-2026
Friday, 11/12/1812;11-12-1812
Thursday, 1878.01.03;03-01-1878
Thu. 1855 10 04;04-10-1855
Sunday 25 09 1803;25-09-1803
06 Feb. 1958;06-02-1958
Thu 1870 06 23;23-06-1870
Sunday 1926 Sep 12;12-09-1926
1814-06-19;19-06-1814
Sunday, 31/05/1891;31-05-1891
Wed. 1944 Aug. 30;30-08-1944
Sun 1921 Aug. 14;14-08-1921
07 Jun. 1935;07-06-1935
Thu 13 March 1834;13-03-1834
Sun 1818 May 10;10-05-1818
Thursday 27.09.1900;27-09-1900
Mon 1933 Jun 05;05-06-1933
Tuesday 02 Oct. 1923;02-10-1923
Sun 09 April 1961;09-04-1961
Sunday 10 Mar 1907;10-03-1907
Tue. 09 Apr 1822;09-04-1822
1805-05-04;04-05-1805
2026.10.04;04-10-2026
1832 February 13;13-02-1832
Fri. 1926.01.01;01-01-1926
Sun. 2042.05.18;18-05-2042
Wed. 1860/07/11;11-07-1860
Wednesday 10 April 1805;10-04-1805
2038 Oct 31;31-10-2038
Sun 05 Aug 1804;05-08-1804
Thu. 03.12.1998;03-12-1998
2009 Oct. 27;27-10-2009
Friday 27 Nov. 1868;27-11-1868
Sunday 09.04.1944;09-04-1944
Fri 24 10 2036;24-10-2036
Tue 2044.09.20;20-09-2044
Sun. 26 Oct 1879;26-10-1879
Sunday 16/07/2034;16-07-2034
Tue. 21 Sep. 1993;21-09-1993
Wed. 28 Feb. 2001;28-02-2001
Sunday, 1845.11.16;16-11-1845
Thu. 1847.07.01;01-07-1847
1800 May. 27;27-05-1800
Fri 15.02.2041;15-02-2041
1947 Oct 18;18-10-1947
15 01 1871;15-01-1871
15 Jun. 1875;15-06-1875
Wednesday 2026/08/26;26-08-2026
Thursday, 13-10-1803;13-10-1803
Mon. 09 Jan 1882;09-01-1882
Saturday 1908 01 18;18-01-1908
Monday 08 Jun. 1891;08-06-1891
Thursday, 1854 August 24;24-08-1854
Thursday 02-01-1896;02-01-1896
Saturday, 1917.04.07;07-04-1917
Sunday 1960/10/09;09-10-1960
Sat 21 Aug. 1858;21-08-1858
1986 Sep 22;22-09-1986
Thu 07 June 1866;07-06-1866
Sunday, 1966 Apr. 17;17-04-1966
11 May. 2020;11-05-2020
22 Aug. 1899;22-08-1899
Thu 1952 Oct. 23;23-10-1952
Friday, 1914/07/24;24-07-1914
Wed 1905 Mar 08;08-03-1905
Saturday 15/07/2045;15-07-2045
Friday, 1882 Dec. 22;22-12-1882
28/02/1860;28-02-1860
Tue 17 Jun 1986;17-06-1986
1916 01 18;18-01-1916
Fri 02 January 1903;02-01-1903
Monday 13 Jun. 1960;13-06-1960
Monday 1974 12 23;23-12-1974
13 Oct 1888;13-10-1888
Mon 15.05.2017;15-05-2017
Wednesday, 2034/07/26;26-07-2034
Sat. 1811.09.21;21-09-1811
Friday 2011 September 23;23-09-2011
Sunday 27 Jun 2004;27-06-2004
Fri 1934-04-27;27-04-1934
Tue 18 Sep. 1945;18-09-1945
1936 11 18;18-11-1936
2038/06/24;24-06-2038
17-10-1941;17-10-1941
Tue. 27 Nov. 1984;27-11-1984
Tue. 1965 Dec. 14;14-12-1965
Wednesday 1954.12.01;01-12-1954
Saturday 1805 April 27;27-04-1805
Mon 2014 Oct. 27;27-10-2014
1926 August 23;23-08-1926
1929 Aug. 03;03-08-1929
Wed 2039-11-16;16-11-2039
Friday 2026 Jul 31;31-07-2026
1950 Sep 13;13-09-1950
Monday 20-03-1989;20-03-1989
04 Apr 1860;04-04-1860
Mon. 1897 Feb. 22;22-02-1897
Sun 1988-04-17;17-04-1988
Friday 1802/03/12;12-03-1802
Wednesday, 2050.07.06;06-07-2050
Sun. 11 02 1962;11-02-1962
Mon 1818 06 22;22-06-1818
27.04.1848;27-04-1848
07.08.2014;07-08-2014
Fri 06 12 1867;06-12-1867
Wednesday 07 Feb 1894;07-02-1894
Tuesday 05-12-1995;05-12-1995
Saturday 03-07-1915;03-07-1915
Friday, 1885-05-22;22-05-1885
09/11/1857;09-11-1857
Sat 15 Nov. 1969;15-11-1969
Saturday 04.01.1969;04-01-1969
Fri. 2041 10 04;04-10-2041
Wed 2047 04 24;24-04-2047
Tuesday 1898 May 10;10-05-1898
Wednesday 2033 03 30;30-03-2033
Wed 1966-10-05;05-10-1966
Tuesday, 24 09 1822;24-09-1822
Fri. 1861 06 07;07-06-1861
Sunday, 22 Feb 1824;22-02-1824
Fri 2015 August 07;07-08-2015
Wed. 04/11/1998;04-11-1998
Wednesday, 1917-05-30;30-05-1917
Saturday 1981-05-09;09-05-1981
Sat 1904 06 18;18-06-1904
Fri 2014 October 24;24-10-2014
Saturday 11.06.1870;11-06-1870
Monday, 2013.05.13;13-05-2013
Tue. 15 01 1839;15-01-1839
Mon 09 Jun 1975;09-06-1975
Sun. 1977.11.13;13-11-1977
Sat 1933 Dec. 09;09-12-1933
31 July 1966;31-07-1966
Wed. 17.01.2024;17-01-2024
Fri. 1937.08.27;27-08-1937
26-11-1831;26-11-1831
29 03 1888;29-03-1888
Monday 2026-06-01;01-06-2026
Tuesday 24 04 1900;24-04-1900
1915 Dec 22;22-12-1915
Thursday 2045/03/16;16-03-2045
Tuesday, 2006.11.14;14-11-2006
Fri 24-12-1880;24-12-1880
Wednesday, 22-04-1846;22-04-1846
Tue 09 12 1884;09-12-1884
Wed. 1845 Jan. 29;29-01-1845
29 01 1858;29-01-1858
Fri. 2047 07 26;26-07-2047
2009-04-14;14-04-2009
1993 01 02;02-01-1993
25.10.1823;25-10-1823
Wednesday 01 February 1928;01-02-1928
Mon. 14/12/2048;14-12-2048
Fri. 1877 November 16;16-11-1877
Sat. 04-10-1969;04-10-1969
Sun. 1802 09 26;26-09-1802
1891 Jan 21;21-01-1891
Monday 23.06.1958;23-06-1958
Tue 1875 12 14;14-12-1875
Sunday, 09 07 1995;09-07-1995
Tuesday, 11 10 1966;11-10-1966
15/11/1823;15-11-1823
Sunday, 31.01.1886;31-01-1886
Sun. 23-02-1845;23-02-1845
Tue 2006 Jan. 17;17-01-2006
Sat. 21/12/1861;21-12-1861
Friday 1921 May 06;06-05-1921
Wednesday 1928 February 15;15-02-1928
Sat 26 Feb. 2011;26-02-2011
30 Mar. 2015;30-03-2015
31/03/1999;31-03-1999
1996 Sep. 01;01-09-1996
Fri 24 12 1824;24-12-1824
Mon 1908 Jun. 29;29-06-1908
Tuesday, 12 July 2016;12-07-2016
Friday, 2031 Feb. 14;14-02-2031
Fri. 20 Mar. 1868;20-03-1868
Wednesday 26/02/1817;26-02-1817
Thu. 2046-01-04;04-01-2046
Wed. 05-10-1938;05-10-1938
Thu 24 June 2004;24-06-2004
Sun. 22.10.2023;22-10-2023
Sunday, 17 06 1923;17-06-1923
Thursday 30.03.1972;30-03-1972
Sat 26 06 1875;26-06-1875
Thu 08 Dec 1910;08-12-1910
Wednesday, 07 Aug 1935;07-08-1935
Sunday 31 Aug. 1947;31-08-1947
24 02 1906;24-02-1906
Thu 19 08 1948;19-08-1948
06.12.1898;06-12-1898
Fri. 1924 10 24;24-10-1924
Thursday, 1885/08/20;20-08-1885
18 Jan. 1902;18-01-1902
10/10/2013;10-10-2013
Monday, 04.12.2045;04-12-2045
Tuesday, 1856-02-19;19-02-1856
Tue. 1838-02-06;06-02-1838
Fri. 1880 10 29;29-10-1880
Thu. 10 July 1997;10-07-1997
Friday, 2020 03 13;13-03-2020
1919 May 23;23-05-1919
20.02.1814;20-02-1814
Mon 1850 09 09;09-09-1850
Tue. 1944 Mar. 21;21-03-1944
Wed. 22 May 1935;22-05-1935
Sat 16/06/1866;16-06-1866
Sat. 1875 Mar. 20;20-03-1875
2044.10.05;05-10-2044
Wednesday, 1842 August 24;24-08-1842
Wed 04 June 1930;04-06-1930
1840 October 07;07-10-1840
Friday 20 September 2013;20-09-2013
Friday 1984 09 21;21-09-1984
Wed. 1943 Oct 06;06-10-1943
Sunday, 1977-04-10;10-04-1977
13.04.2002;13-04-2002
Thu 1920-10-28;28-10-1920
1857 12 21;21-12-1857
2047/10/21;21-10-2047
Tue. 1836.08.02;02-08-1836
Tue 2013-10-15;15-10-2013
Tuesday 1875-12-21;21-12-1875
Tuesday, 1892 May 10;10-05-1892
1918 Jan 19;19-01-1918
Wed. 06/07/1803;06-07-1803
Thu 1941 Sep. 11;11-09-1941
Wed 1953 12 23;23-12-1953
Friday, 1999-11-05;05-11-1999
Thu 1805 02 21;21-02-1805
21 Apr. 1892;21-04-1892
Saturday, 07/02/1931;07-02-1931
1807 June 20;20-06-1807
Sun 22 July 2007;22-07-2007
Friday 17/03/1809;17-03-1809
Tue 1829 Sep 22;22-09-1829
10 Jun 1853;10-06-1853
Fri 1836/08/12;12-08-1836
Wednesday 28 August 1985;28-08-1985
Monday 1861 03 11;11-03-1861
Monday, 1977 05 02;02-05-1977
Fri 10 Feb. 1809;10-02-1809
Monday, 1949/12/19;19-12-1949
1975 December 29;29-12-1975
Sun 24.09.1837;24-09-1837
Thu 1980 May 01;01-05-1980
Saturday 21 Feb. 1970;21-02-1970
Monday, 2031 Oct 27;27-10-2031
Sun 1845 Jan. 05;05-01-1845
Mon 09.06.1873;09-06-1873
Wednesday 1964 07 15;15-07-1964
10.05.1867;10-05-1867
Saturday, 1907 Apr 20;20-04-1907
Friday, 03/10/2014;03-10-2014
Thursday, 14 Jan. 1909;14-01-1909
Mon. 2049-12-20;20-12-2049
Mon. 1869.08.09;09-08-1869
Tuesday, 1956.10.16;16-10-1956
21/10/1927;21-10-1927
2034.04.03;03-04-2034
Sun. 1940 01 14;14-01-1940
Sunday 29-04-1888;29-04-1888
11 March 1812;11-03-1812
Wednesday, 26 10 1836;26-10-1836
Saturday 1909 06 26;26-06-1909
Mon 25 03 2019;25-03-2019
Mon 15 06 1829;15-06-1829
Thu 1827 November 29;29-11-1827
Monday 2035 October 15;15-10-2035
Sunday, 06 Mar. 1859;06-03-1859
2008 November 02;02-11-2008
Fri 1930 Nov 07;07-11-1930
Fri 1885 August 07;07-08-1885
Sunday, 26.01.1823;26-01-1823
Sun. 12 Jan 1902;12-01-1902
1959 Sep. 01;01-09-1959
12/01/1973;12-01-1973
1926 May 25;25-05-1926
Wednesday 28-11-2046;28-11-2046
22-08-1856;22-08-1856
Thu 1849 Jun. 21;21-06-1849
1977/02/17;17-02-1977
Sat. 29/06/1878;29-06-1878
02 Dec 1873;02-12-1873
1926 October 21;21-10-1926
Tuesday, 16 Jul. 1833;16-07-1833
Mon 06 Apr. 1959;06-04-1959
Fri 1946.06.28;28-06-1946
Monday, 12 June 1978;12-06-1978
Tuesday 2018-05-22;22-05-2018
Tue 1994 07 19;19-07-1994
Wednesday 02 Jun. 1982;02-06-1982
Mon. 1904-07-11;11-07-1904
Mon 1943.05.03;03-05-1943
2008.08.28;28-08-2008
Thursday 01 05 1986;01-05-1986
Mon 03-05-1993;03-05-1993
06 Mar. 1918;06-03-1918
Thu. 08.07.1965;08-07-1965
10 May. 2013;10-05-2013
Mon 1803 Feb. 07;07-02-1803
Saturday 1800 April 19;19-04-1800
Tuesday 11 06 1833;11-06-1833
Fri 07 Jan 1842;07-01-1842
Sat 1816-05-18;18-05-1816
Tuesday 1936/03/31;31-03-1936
1925/12/15;15-12-1925
Thursday 21-03-1918;21-03-1918
Wed 1833-06-26;26-06-1833
15 10 1998;15-10-1998
Mon 30 Dec. 1816;30-12-1816
Thu 1822-04-11;11-04-1822
Sunday, 11 May. 1823;11-05-1823
Sunday, 1869 May 16;16-05-1869
Sat 04 Apr 2026;04-04-2026
Wednesday 2008/07/02;02-07-2008
1989/09/23;23-09-1989
Wed. 1860-09-12;12-09-1860
Thu. 1886-07-01;01-07-1886
Sun. 1858-05-23;23-05-1858
Tue 22-04-1806;22-04-1806
Friday, 22 03 1946;22-03-1946
Saturday 23 Feb 1822;23-02-1822
18 04 2029;18-04-2029
Mon 20-06-1864;20-06-1864
Sat 2038 May 29;29-05-2038
Monday, 25 Feb. 1861;25-02-1861
Thu 1804 May 31;31-05-1804
Mon 14.10.1974;14-10-1974
Thursday 1865 April 20;20-04-1865
Thu. 30 March 1911;30-03-1911
26-12-1808;26-12-1808
10 01 2022;10-01-2022
Mon. 1927.07.04;04-07-1927
Thursday, 1828 02 07;07-02-1828
Friday 16 Jul 1802;16-07-1802
Tuesday 19 Jan. 2049;19-01-2049
Sat. 16 March 2019;16-03-2019
Tuesday 25-12-1888;25-12-1888
Saturday, 1931-10-17;17-10-1931
Sun 1981-08-09;09-08-1981
Wed. 2049 Mar. 17;17-03-2049
Sat. 26-02-1870;26-02-1870
Wednesday, 1972-07-05;05-07-1972
Mon 20 Sep. 1999;20-09-1999
Sun. 05 Aug 2001;05-08-2001
Tue 13-01-2015;13-01-2015
Thu 1925 July 16;16-07-1925
Saturday, 2019 April 13;13-04-2019
Tuesday 21.12.2010;21-12-2010
13 Sep. 1847;13-09-1847
Mon 1867-12-02;02-12-1867
Saturday, 22-02-1969;22-02-1969
Saturday, 25 Jan 1800;25-01-1800
Fri. 2049 March 12;12-03-2049
Mon. 27.12.1920;27-12-1920
Thu. 23.06.1864;23-06-1864
Monday, 10-10-1808;10-10-1808
Thu. 1973/05/03;03-05-1973
29 Dec. 1932;29-12-1932
Wed 1865.02.22;22-02-1865
Sunday 1977 Feb 06;06-02-1977
Sun 1979-05-20;20-05-1979
Thu. 1988.09.01;01-09-1988
1975-10-18;18-10-1975
Monday 14 12 1908;14-12-1908
Thu 09 Oct 2025;09-10-2025
Friday, 2026.10.30;30-10-2026
Friday, 1954 06 25;25-06-1954
Tuesday, 1842 05 31;31-05-1842
Sat. 28 October 1989;28-10-1989
Sun. 09 Nov 1856;09-11-1856
Thursday, 2034 November 30;30-11-2034
Friday, 13 Feb. 1959;13-02-1959
Thursday 2036-04-24;24-04-2036
Sunday, 24/12/1848;24-12-1848
Sat. 18 03 1820;18-03-1820
Friday, 20 07 1855;20-07-1855
Mon. 03 May. 1971;03-05-1971
Sun 31 May 1807;31-05-1807
Sunday, 20 Sep 1987;20-09-1987
Saturday 1813/02/20;20-02-1813
Monday, 28 04 1817;28-04-1817
Monday 20 05 1912;20-05-1912
Tue 1912 10 29;29-10-1912
Thursday, 1826 August 10;10-08-1826
Thursday 1960 Jun. 09;09-06-1960
Wed. 1866 November 28;28-11-1866
Wednesday 19-02-1840;19-02-1840
Mon 1944/01/10;10-01-1944
Tuesday 04 05 1897;04-05-1897
Saturday 16 Jun. 1973;16-06-1973
Tue. 1813 April 20;20-04-1813
Sunday 1938/03/13;13-03-1938
1905 Aug. 11;11-08-1905
Mon 1816 May 13;13-05-1816
21 May 2048;21-05-2048
28 Jan 1804;28-01-1804
Thu. 1926/08/19;19-08-1926
Thu. 1973 November 01;01-11-1973
1908.12.13;13-12-1908
2036 September 29;29-09-2036
09.07.2031;09-07-2031
Wed. 1860 Jan. 25;25-01-1860
Tue. 1807.04.21;21-04-1807
Sat. 02 May 1981;02-05-1981
Friday, 1863/11/13;13-11-1863
Mon. 26 February 1973;26-02-1973
Sat. 1899 Sep. 09;09-09-1899
Saturday 01 07 1972;01-07-1972
Fri 05/05/1911;05-05-1911
Monday, 28 01 2030;28-01-2030
Tue 17-02-1931;17-02-1931
21 May 1895;21-05-1895
Mon. 15.08.1898;15-08-1898
Tuesday 05/09/1922;05-09-1922
Monday, 1886 November 22;22-11-1886
14 Apr 1831;14-04-1831
Sunday, 09-03-1817;09-03-1817
Wednesday, 19 May 2021;19-05-2021
Thu. 1852 Nov 04;04-11-1852
Tuesday 2040 11 20;20-11-2040
Wednesday 1985.10.30;30-10-1985
Tue. 2041.09.17;17-09-2041
Fri. 19 Jan. 1934;19-01-1934
1821/08/06;06-08-1821
Tue 2001-07-17;17-07-2001
Fri 2012/06/29;29-06-2012
Mon. 1892/02/15;15-02-1892
1933 May. 15;15-05-1933
Wednesday, 05 Nov. 1975;05-11-1975
Wed. 1969 Dec 24;24-12-1969
Sun. 02 07 1922;02-07-1922
Tuesday, 10 September 1901;10-09-1901
Mon. 10-02-1902;10-02-1902
Sunday, 1851.09.14;14-09-1851
Wed. 26 09 1838;26-09-1838
Thu 29 May 1941;29-05-1941
Wed. 25-12-2041;25-12-2041
Fri 2031 Jul 18;18-07-2031
26/01/1813;26-01-1813
Sat 1886.12.04;04-12-1886
2036-11-07;07-11-2036
1808.07.15;15-07-1808
Monday, 17 08 1807;17-08-1807
Friday 1973-08-10;10-08-1973
Wed 1893.05.03;03-05-1893
29 Apr 1830;29-04-1830
1946 Jan 11;11-01-1946
Tue. 24.09.1816;24-09-1816
Sun 09 07 1939;09-07-1939
Saturday 2031 07 26;26-07-2031
Tue 2020.08.11;11-08-2020
Tue 09.06.1959;09-06-1959
11.11.1957;11-11-1957
Mon 15 October 1973;15-10-1973
Sat. 06 03 1858;06-03-1858
10 Sep. 1838;10-09-1838
Fri. 13.05.2050;13-05-2050
Wed. 13 Sep. 1905;13-09-1905
Sunday, 22 October 2045;22-10-2045
1901-09-16;16-09-1901
Friday, 27 July 1979;27-07-1979
29 Jun. 1860;29-06-1860
12 12 1806;12-12-1806
14 Sep 2006;14-09-2006
Sat. 19 Apr 1952;19-04-1952
Thu 10 October 1946;10-10-1946
Sunday, 1841/05/16;16-05-1841
08 09 2028;08-09-2028
Thursday 1923 Aug 16;16-08-1923
Wed. 2022-10-05;05-10-2022
Fri 02 01 1976;02-01-1976
Thu. 13/07/1899;13-07-1899
Friday 1981/07/03;03-07-1981
08 Dec. 1825;08-12-1825
Tue 1828 Mar. 04;04-03-1828
Friday 14 Jun. 1816;14-06-1816
Tue. 1979-02-20;20-02-1979
Friday, 13 July 2007;13-07-2007
Saturday 11.08.1906;11-08-1906
1911/02/14;14-02-1911
Sun. 1985/11/17;17-11-1985
Wed. 02 09 1818;02-09-1818
Sunday, 1891 Dec. 13;13-12-1891
27-12-1971;27-12-1971
27-11-1943;27-11-1943
Saturday 2032 April 24;24-04-2032
Sunday, 1966-01-09;09-01-1966
Friday, 27.05.1932;27-05-1932
1958-06-07;07-06-1958
Sat. 16.01.1937;16-01-1937
Wed 1940.05.22;22-05-1940
Friday 10-02-1882;10-02-1882
Saturday 2014/04/26;26-04-2014
Friday 2022.09.23;23-09-2022
Saturday, 29 April 1820;29-04-1820
Mon 1968 May. 27;27-05-1968
24.04.1975;24-04-1975
Mon. 2040-06-11;11-06-2040
Tuesday 2016 November 01;01-11-2016
Saturday 04-01-1896;04-01-1896
24 05 1831;24-05-1831
Mon. 14 April 1986;14-04-1986
Wednesday 28/04/2010;28-04-2010
Tue 1980 October 14;14-10-1980
Friday 18-08-1916;18-08-1916
Tuesday 25 Apr 2028;25-04-2028
Wednesday, 1889-08-14;14-08-1889
Monday 28.01.2013;28-01-2013
Saturday, 1999.02.20;20-02-1999
Monday, 2047 February 18;18-02-2047
Wednesday 1829/03/11;11-03-1829
Sat. 09-12-2006;09-12-2006
Friday 2038.02.19;19-02-2038
28 12 1832;28-12-1832
18 Apr 1883;18-04-1883
Mon 14 Sep 1925;14-09-1925
Wed. 1897 Jan 13;13-01-1897
Thu. 08 Oct. 2020;08-10-2020
Monday, 13-06-2044;13-06-2044
27-03-1842;27-03-1842
Friday 1841 Oct 08;08-10-1841
Thursday 1812 February 27;27-02-1812
1853 March 13;13-03-1853
Wednesday 14 August 1878;14-08-1878
Saturday 1909 01 16;16-01-1909
Wednesday, 11 Feb 1807;11-02-1807
Tuesday 1992 Jul. 07;07-07-1992
Thursday, 15-09-1864;15-09-1864
17 Feb 1874;17-02-1874
30 May. 1982;30-05-1982
Sunday 26-02-2012;26-02-2012
Sunday 06 November 2011;06-11-2011
Sat 1932 April 16;16-04-1932
Wednesday, 1880 06 02;02-06-1880
Friday, 2023 June 09;09-06-2023
Thu 29-11-1979;29-11-1979
Wed 05 07 1820;05-07-1820
Tue 19/07/1983;19-07-1983
23 Apr 1949;23-04-1949
Tuesday 03/04/1838;03-04-1838
1954.07.14;14-07-1954
Saturday, 1804 Dec 01;01-12-1804
1991 Nov. 29;29-11-1991
Tuesday, 22.06.2032;22-06-2032
Monday, 25-07-2033;25-07-2033
29 October 1892;29-10-1892
Saturday, 26-04-1879;26-04-1879
Thursday 1805.01.31;31-01-1805
Sunday, 14/01/1877;14-01-1877
Saturday, 2029-02-17;17-02-2029
1912 December 01;01-12-1912
Fri 02 Feb 1810;02-02-1810
Tuesday 07 Jul 1835;07-07-1835
